"category","word","meaning","example","translation","count"
"phrasal verbs","turn down something/somebody  [transitive]","to refuse or reject an offer, request, or proposal","She turned down the scholarship because she wanted to stay close to home.","từ chối",0
"phrasal verbs","dwell on something [transitive]","to spend too much time thinking or talking about something negative","Instead of dwelling on his failures, he focused on future goals.","suy nghĩ tiêu cực mãi về",0
"phrasal verbs","look forward to something [transitive]","to be excited or happy about something that is going to happen","I’m looking forward to seeing my family this weekend.","mong đợi",0
"phrasal verbs","look down on somebody  [transitive]","to think that you are better or more important than someone else","He tends to look down on people who don’t share his opinions.","xem thường",0
"phrasal verbs","boss around somebody  [transitive]","to keep telling someone what to do in an overly controlling way","Stop bossing your little brother around all the time.","ra lệnh một cách hách dịch",0
"phrasal verbs","stand up to somebody  [transitive]","to confront someone and refuse to be treated unfairly by them","She finally stood up to her boss and demanded respect.","đối đầu, chống lại",0
"phrasal verbs","back up somebody  [transitive]","to support or defend someone in a difficult situation","Her friends backed her up when she spoke out against the manager.","hỗ trợ, ủng hộ",0
"phrasal verbs","look up something [transitive]","to search for information in a source like a dictionary or online","I had to look up the recipe online before cooking.","tra cứu",0
"phrasal verbs","think through something [transitive]","to carefully consider all aspects before making a decision","He needs to think through the plan before presenting it.","suy nghĩ thấu đáo",0
"phrasal verbs","break down [intransitive]","to stop working due to mechanical failure","My old laptop broke down during the presentation.","hư hỏng (máy móc)",0
"phrasal verbs","freak out [intransitive]","to become extremely upset or lose control due to fear or anger","He freaked out when he lost his phone.","hoảng loạn, nổi giận",0
"phrasal verbs","turn up [intransitive]","to arrive or appear unexpectedly or after being missing","She turned up late to the meeting without explanation.","xuất hiện, đến nơi",0
"phrasal verbs","get on / get on something [transitive/intransitive]","to board a vehicle such as a bus, plane, or bicycle","We got on the train just before it left the station.","lên xe, tàu, máy bay",0
"phrasal verbs","sell out [intransitive]","to have no more items available for sale because everything has been bought","The concert tickets sold out in just ten minutes.","bán hết",0
"phrasal verbs","join in / join in something [transitive/intransitive]","to participate in an activity that others are already doing","He joined in the game even though he arrived late.","tham gia vào",0
"phrasal verbs","pass out [intransitive]","to suddenly become unconscious","He passed out from exhaustion after the marathon.","ngất xỉu",0
"phrasal verbs","carry on (doing something) [transitive/intransitive]","to continue an activity that was already in progress","Despite the noise, she carried on reading her book.","tiếp tục",0
"phrasal verbs","blow away somebody  [transitive]","to greatly impress or amaze someone","Her performance blew everyone away at the talent show.","làm kinh ngạc",0
"phrasal verbs","bring out something [transitive]","to make a new product, book, or album available to the public","They brought out a new smartphone model last week.","phát hành, tung ra",0
"phrasal verbs","go off [intransitive]","to begin making a sound (like an alarm) or to explode suddenly","The fire alarm went off in the middle of the night.","reo lên, nổ tung",0
"phrasal verbs","sleep in [intransitive]","to wake up later than planned or necessary","I accidentally slept in and missed the first meeting.","ngủ nướng",0
"phrasal verbs","hang out (with somebody ) [transitive]","to spend time relaxing with someone or at a place","They often hang out at the coffee shop near campus.","đi chơi, tụ tập",0
"phrasal verbs","rip off somebody  [transitive]","to charge someone too much or cheat them financially","Tourists are often ripped off at local markets.","lừa gạt tiền",0
"phrasal verbs","watch out (for something) [transitive]","to be cautious or careful of possible danger or problems","Watch out for slippery floors after it rains.","cẩn thận, coi chừng",0
"phrasal verbs","run out of something [transitive]","to no longer have something because it has been used up","We ran out of coffee during the meeting.","hết, cạn kiệt",0
"phrasal verbs","talk (someone) into something [transitive]","to convince or persuade someone to do something","She talked me into applying for the internship.","thuyết phục",0
"phrasal verbs","run into somebody  [transitive]","to meet someone unexpectedly by chance","I ran into my old professor at the bookstore.","tình cờ gặp",0
"phrasal verbs","throw up [intransitive]","to vomit suddenly","He felt dizzy and threw up after the rollercoaster ride.","nôn mửa",0
"phrasal verbs","break up / break up with somebody  [transitive/intransitive]","to end a romantic relationship","They broke up after five years together.","chia tay",0
"phrasal verbs","show off [intransitive]","to act in a way that draws attention or admiration to oneself","He always shows off his expensive gadgets.","khoe khoang",0
"phrasal verbs","split up / split up with somebody  [transitive/intransitive]","to end a relationship or marriage","The couple decided to split up after years of disagreement.","chia tay",0
"phrasal verbs","move in (with somebody ) [transitive]","to begin living in a new house or with someone","They moved in together after getting engaged.","chuyển đến sống chung",0
"phrasal verbs","hit on somebody  [transitive]","to flirt with someone in a romantic or sexual way","He was hitting on her all night at the party.","tán tỉnh",0
"phrasal verbs","keep on 'doing' something [transitive]","to continue doing something persistently, often annoyingly","She kept on talking even after the class had ended.","tiếp tục (làm gì đó)",0
"phrasal verbs","joke around [intransitive]","to act playfully or not take things seriously","He was just joking around and didn’t mean any harm.","đùa giỡn",0
"phrasal verbs","move out [intransitive]","to leave a house or apartment permanently","She moved out last week and found her own place.","chuyển đi",0
"phrasal verbs","get over something or someone [transitive]","to recover from emotional pain or stop being upset about something","It took her months to get over the breakup.","vượt qua (cảm xúc)",0
"phrasal verbs","get together [intransitive]","to meet or gather with someone for a purpose, often social","Let’s get together this weekend for a barbecue.","gặp gỡ, tụ tập",0
"phrasal verbs","put off something [transitive]","to delay or postpone something to a later time","They had to put off the meeting until next week.","hoãn lại",0
"phrasal verbs","put on something [transitive]","to start wearing clothes or to gain weight","She put on a warm jacket before going outside.","mặc vào; tăng cân",0
"phrasal verbs","get back into something [transitive]","to return to a previous activity or habit","He's getting back into painting after a long break.","quay lại với điều gì đó",0
"phrasal verbs","give up / give up something [transitive/intransitive]","to stop a habit or regular activity","She's decided to give up drinking coffee for a month.","từ bỏ",0
"phrasal verbs","cut down on something [transitive]","to reduce the use or intake of something","I'm trying to cut down on sugar this month.","cắt giảm",0
"phrasal verbs","eat out [intransitive]","to have a meal at a restaurant instead of at home","We usually eat out on the weekends.","ăn ngoài",0
"phrasal verbs","save up [intransative]","to put aside money for a purpose","He's saving up to buy a new laptop.","tiết kiệm tiền",0
"phrasal verbs","throw out something [transitive]","to dispose of or discard something","I threw out the old magazines to make space.","vứt bỏ",0
"phrasal verbs","figure out something [transitive]","to understand or solve something","We need to figure out why the system keeps crashing.","tìm ra",0
"phrasal verbs","set up something [transitive]","to establish a business or organization","They set up a new startup focused on education.","thành lập",0
"phrasal verbs","call around [intransitive]","to visit someone's house casually","My aunt called around yesterday to say hello.","ghé qua",0
"phrasal verbs","look after something or someone [transitive]","to take care of someone or something","Can you look after my dog while I’m away?","chăm sóc",0
"phrasal verbs","end up [intransitive]","to reach a final or unexpected situation","We ended up going to a different restaurant.","kết cục là",0
"phrasal verbs","keep up [intransitive]","to maintain the same pace or level","I couldn’t keep up with the fast runners.","theo kịp",0
"phrasal verbs","wait up [intransitive]","to stay awake until someone arrives","She waited up for her son to get home.","thức chờ",0
"phrasal verbs","get back [intransitive]","to return to a place","What time did you get back from work?","quay lại",0
"phrasal verbs","wander off [intransitive]","to move away from a place without permission or direction","The toddler wandered off while we were distracted.","đi lang thang",0
"phrasal verbs","mess up something [transitive]","to make something untidy or dirty","He messed up the kitchen while cooking.","làm bừa bộn",0
"phrasal verbs","give back something [transitive]","to return something that was borrowed","Don't forget to give back the book you borrowed.","trả lại",0
"phrasal verbs","miss out [intransitive]","to not experience or take part in something","She missed out on the concert because of work.","bỏ lỡ",0
"phrasal verbs","catch up [intransitive]","to reconnect and update with someone after a while","We finally caught up over lunch last weekend.","nói chuyện lại",0
"phrasal verbs","meet up","to get together with someone to spend time","Let’s meet up next weekend for coffee.","gặp nhau",0
"phrasal verbs","feel up to something","to feel capable or ready to do something","I don’t feel up to going out tonight.","cảm thấy đủ sức để làm gì",0
"phrasal verbs","fall through","to not happen as planned","Our holiday plans fell through at the last minute.","thất bại, không xảy ra",0
"phrasal verbs","give away something","to donate or hand something out for free","He gave away his old books to the local library.","tặng, phát miễn phí",0
"phrasal verbs","take up something","to begin a new activity or hobby","She recently took up painting as a hobby.","bắt đầu làm gì (thói quen mới)",0
"phrasal verbs","stick at something","to continue doing something even when it’s hard","He stuck at learning piano despite the challenges.","kiên trì làm điều gì",0
"phrasal verbs","drop out","to leave school, college, or an activity before completing it","She dropped out of college to start her own business.","bỏ học, bỏ dở giữa chừng",0
"phrasal verbs","last","to continue for a period of time","The movie lasted over three hours.","kéo dài",0
"phrasal verbs","zone out","to stop focusing and become distracted","He zoned out during the long meeting.","mất tập trung",0
"phrasal verbs","take down something","to write or record information","She took down the instructions carefully.","ghi chép lại",0
"phrasal verbs","fall behind","to not keep up with progress or schedule","He fell behind in his schoolwork after being sick.","tụt lại phía sau",0
"phrasal verbs","drift off","to slowly fall asleep","I drifted off while watching the movie.","ngủ gật",0
"phrasal verbs","knuckle down 2","to start working hard on something seriously","It’s time to knuckle down and finish this report.","bắt tay vào làm việc chăm chỉ",0
"phrasal verbs","bring back something","to return something or carry it from another place","He brought back souvenirs from Japan.","mang về",0
"phrasal verbs","grow on somebody","to become more liked over time","At first I disliked the song, but it grew on me.","dần dần yêu thích",0
"phrasal verbs","grow up","to become older and more mature","She grew up in a small village by the sea.","trưởng thành",0
"phrasal verbs","sort out something","to fix a problem or organize something","We need to sort out the issues before launching.","giải quyết, sắp xếp",0
"phrasal verbs","look for something or somebody","to try to find something or someone","I’m looking for my lost keys.","tìm kiếm",0
"phrasal verbs","fill in for somebody","to temporarily take someone’s place","Can you fill in for me at the meeting tomorrow?","làm thay ai đó",0
"phrasal verbs","get by","to manage with what you have, especially money","We’re not rich, but we get by just fine.","xoay sở",0
"phrasal verbs","pay back something or somebody","to return borrowed money","I’ll pay you back next week after payday.","trả lại tiền",0
"phrasal verbs","set up somebody  (with somebody )","to arrange a romantic meeting between two people","She set me up with her cousin last weekend.","mai mối",0
"phrasal verbs","get on (with somebody ) [intransitive]","to have a friendly or harmonious relationship with someone","She gets on really well with her coworkers at the new job.","hòa hợp với ai đó",0
"phrasal verbs","work out [intransitive]","to result in a successful or satisfactory way","Everything worked out in the end despite the initial problems.","diễn ra tốt đẹp",0
"phrasal verbs","move on [intransitive]","to let go of the past and begin a new stage in life","After the breakup, she decided it was time to move on.","tiến về phía trước",0
"phrasal verbs","cheer up / cheer up somebody  [transitive/intransitive]","to become or make someone feel happier","He bought her flowers to cheer her up after a tough week.","làm vui lên",0
"phrasal verbs","fall for somebody  [transitive]","to develop romantic feelings for someone","He fell for her the moment they met at the conference.","phải lòng ai đó",0
"phrasal verbs","ask out somebody  [transitive]","to invite someone on a date","He finally asked her out after weeks of hesitation.","mời ai đó đi chơi",0
"phrasal verbs","chat up somebody  [transitive]","to start a flirtatious conversation with someone","He tried to chat her up at the party, but she wasn’t interested.","tán tỉnh ai đó",0
"phrasal verbs","back out [intransitive]","to withdraw from an agreement or commitment","She backed out of the project just days before the deadline.","rút lui",0
"phrasal verbs","come up with something [transitive]","to think of or create a new idea or plan","They came up with a creative solution to reduce costs.","nghĩ ra điều gì",0
"phrasal verbs","bring back something 2","to return with something from another place","He brought back souvenirs from his trip to Japan.","mang về",0
"phrasal verbs","fall behind 2","to lag behind in progress or performance","He fell behind in his studies after missing several classes.","tụt lại phía sau",0
"phrasal verbs","puzzle over something","to think hard about something confusing","She puzzled over the strange message for hours.","suy nghĩ về điều khó hiểu",0
"phrasal verbs","be comprised of","to consist of specific parts or elements","The team is comprised of developers and designers.","bao gồm",0
"phrasal verbs","To set someone up","to arrange a date between two people","She set up her cousin with a colleague from work.","mai mối ai đó",0
"phrasal verbs","Get one’s big break","to get an opportunity for success or fame","He got his big break when a producer discovered his video.","cơ hội đột phá",0
"phrasal verbs","Office politics (noun)","rivalry for influence or power within a workplace","She found it exhausting dealing with office politics every day.","chính trị nơi công sở",0
"phrasal verbs","Pick holes in something","to find and point out flaws or weaknesses","Instead of supporting her idea, they kept picking holes in it.","bới móc lỗi",0
"phrasal verbs","Get your foot in the door","to gain a starting opportunity in a field or company","He took the internship just to get his foot in the door.","bắt đầu tạo dựng chỗ đứng",0
"phrasal verbs","See eye to eye","to share the same opinion or viewpoint","We rarely see eye to eye on political issues.","đồng quan điểm",0
"phrasal verbs","Pay under the table","to pay someone secretly to avoid legal obligations","They hired workers and paid them under the table.","trả lương chui",0
"phrasal verbs","Talk shop","to talk about work outside the workplace","They ended up talking shop during the entire dinner.","nói chuyện công việc",0
"phrasal verbs","Put something on the back burner","to delay something less urgent to focus on other things","She put her travel plans on the back burner to finish her project.","tạm gác lại",0
"phrasal verbs","Throw in the towel","to stop trying or admit defeat","After many failed attempts, he threw in the towel.","bỏ cuộc",0
"phrasal verbs","Go the extra mile","to make a special effort beyond what is required","She always goes the extra mile to help her team succeed.","nỗ lực hơn mong đợi",0
"phrasal verbs","Think outside of the box","to use creative or unconventional thinking","The company values employees who think outside of the box.","suy nghĩ đột phá",0
"phrasal verbs","Get off on the wrong foot","To start something, especially a relationship, in a bad or awkward way.","Our meeting got off on the wrong foot because of a scheduling mistake.","Bắt đầu mối quan hệ một cách không suôn sẻ",0
"phrasal verbs","Stand your ground","To maintain your beliefs or position firmly even when others oppose you.","Despite criticism, she stood her ground on the issue.","Giữ vững lập trường",0
"phrasal verbs","Run around like a headless chicken","To act in a panicked, confused, or unorganized way.","Everyone was running around like headless chickens before the event started.","Chạy loạn xạ, hành xử thiếu tổ chức",0
"phrasal verbs","Cut to the chase","To skip the details and get straight to the main point.","Let’s cut to the chase—what do you need from me?","Vào thẳng vấn đề",0
"phrasal verbs","Be a blessing in disguise","Something that seems bad at first but results in something good.","Losing that job was a blessing in disguise—it led me to a better one.","Phúc họa đan xen",0
"phrasal verbs","Cost an arm and a leg","To be very expensive.","That designer bag costs an arm and a leg!","Rất đắt đỏ",0
"phrasal verbs","Learn the ropes","To learn how to do a particular job or task.","She’s still learning the ropes at her new job.","Học việc, học cách làm việc",0
"phrasal verbs","Cook the books","To dishonestly change financial records.","They were accused of cooking the books to hide losses.","Gian lận sổ sách kế toán",0
"phrasal verbs","Make a cold call","To contact someone you don't know to sell something or promote a service.","He makes 20 cold calls a day to find new customers.","Gọi điện thoại tiếp thị",0
"phrasal verbs","Get the green light","To receive permission to proceed.","We got the green light to begin the project.","Được bật đèn xanh, được cho phép",0
"phrasal verbs","Twist somebody ’s arm","To strongly persuade someone to do something they are reluctant to do.","She twisted my arm to get me to join the team.","Thuyết phục ai đó làm điều họ không muốn",0
"phrasal verbs","Run on a shoestring","To operate with a very small budget.","The charity runs on a shoestring but manages to help many.","Chạy với ngân sách eo hẹp",0
"phrasal verbs","Be snowed under","To be overwhelmed with too much work.","I'm snowed under with assignments this week.","Ngập trong công việc",0
"phrasal verbs","Be in the red / black","To be operating at a financial loss (in the red) or profit (in the black).","Thanks to good sales, we’re finally in the black.","Lỗ (in the red) / Lãi (in the black)",0
"phrasal verbs","Miss the boat","To fail to seize an opportunity or take timely action.","I missed the boat on that investment opportunity, and now the company has tripled in value.","Bỏ lỡ cơ hội",0
"phrasal verbs","Jump the gun","To act before the appropriate or expected time.","They jumped the gun by announcing the product before it was ready.","Hấp tấp, vội vàng",0
"phrasal verbs","Be in the loop","To be informed or included in communication regarding decisions or developments.","She wants to be in the loop for all project updates going forward.","Nắm bắt thông tin",0
"phrasal verbs","Move the goalposts","To change the rules or conditions unfairly during a process.","They moved the goalposts by changing the targets halfway through the project.","Thay đổi tiêu chuẩn/luật chơi",0
"phrasal verbs","Be put on the map","To become widely known or important.","The new innovation put the startup on the map in the tech world.","Được biết đến rộng rãi",0
"phrasal verbs","Do the donkey work","To do the hard, boring parts of a task.","The junior team handled the donkey work before the main event.","Làm việc nặng nhọc",0
"phrasal verbs","Jump on the bandwagon","To join a trend or activity that is currently popular.","Several competitors jumped on the bandwagon after our product succeeded.","Theo trào lưu",0
"phrasal verbs","Hold the fort","To take responsibility temporarily in someone’s absence.","She held the fort while the manager was away on leave.","Tạm thời quản lý",0
"phrasal verbs","Pay dividends","To bring benefits or positive returns, often over time.","Their training investments paid dividends in productivity.","Mang lại lợi ích",0
"phrasal verbs","Hold all the aces","To be in a position of power or advantage.","With the key patents, they held all the aces in negotiation.","Nắm mọi lợi thế",0
"phrasal verbs","Cash in your chips","to leave a role or situation, typically to retire or quit permanently","He finally cashed in his chips after 30 years in the industry.","nghỉ việc, về hưu",0
"phrasal verbs","Take something on board","to acknowledge and consider feedback or suggestions","We took their advice on board and adjusted our approach.","tiếp thu",0
"phrasal verbs","Call it a day","to stop working for the time being or end an activity","We’ve done enough; let’s call it a day.","kết thúc công việc",0
"phrasal verbs","add up to (/æd ʌp tə/)","to result in or lead to a specific outcome","Their actions don’t add up to real change.","tương đương với",0
"phrasal verbs","add up to (/æd ʌp tə/) 2","to amount to a total figure when combined","All his monthly bills add up to over $1,000.","tổng cộng lên tới",0
"phrasal verbs","answer back (/ˈɑːnsər bæk/)","to speak disrespectfully to someone in authority","He got detention for answering back in class.","cãi lại",0
"phrasal verbs","ask out (/æsk aʊt/)","to invite someone on a date","He finally asked her out after weeks of hesitation.","rủ đi chơi",0
"phrasal verbs","back down (/bæk daʊn/)","to withdraw from a stance due to opposition","She refused to back down despite criticism.","rút lại ý kiến",0
"phrasal verbs","back up (/bæk ʌp/)","to support someone by agreeing with them","Her colleague backed her up during the argument.","ủng hộ",0
"phrasal verbs","back up (/bæk ʌp/) 2","to create a duplicate copy of digital data","Always back up your files before updating.","sao lưu dữ liệu",0
"phrasal verbs","black out (/blæk aʊt/)","to darken a place by turning off the lights","The area blacked out during the power cut.","làm tối om",0
"phrasal verbs","black out (/blæk aʊt/) 2","to faint or lose consciousness suddenly","He blacked out after standing in the heat too long.","ngất lịm",0
"phrasal verbs","bring about (/brɪŋ əˈbaʊt/)","to cause a specific event or change","The reforms brought about major improvements.","gây ra",0
"phrasal verbs","bring out (/brɪŋ aʊt/)","to highlight a particular trait or feature","The new lighting brings out the colors nicely.","làm nổi bật",0
"phrasal verbs","bring out (/brɪŋ aʊt/) 2","to launch a new product","They’re bringing out a limited edition sneaker.","phát hành",0
"phrasal verbs","bring together (/brɪŋ təˈɡeðər/)","to unite people for a shared activity or goal","The charity event brought the community together.","kết nối",0
"phrasal verbs","brush up (on) (/brʌʃ ʌp/)","to refresh or improve one’s knowledge of something","She brushed up on her French before the trip.","ôn lại",0
"phrasal verbs","build up (/bɪld ʌp/)","to gradually increase or develop over time","They built up their business from scratch.","phát triển",0
"phrasal verbs","build up (/bɪld ʌp/) 2","to grow in size, quantity, or strength","Traffic built up quickly during rush hour.","tăng lên",0
"phrasal verbs","build up (/bɪld ʌp/) 3","to improve someone’s health or physical condition","She’s trying to build up her strength after surgery.","lớn lên, phát triển",0
"phrasal verbs","bump into","to collide with something by accident","I wasn't watching where I was going and bumped into a table.","va phải",0
"phrasal verbs","blend in","to appear similar and go unnoticed in a particular setting","He dyed his hair to help blend in with the crowd.","hòa nhập",0
"phrasal verbs","blurt out","to say something suddenly without thinking","Without thinking, he blurted out the answer.","thốt ra",0
"phrasal verbs","board up","to cover windows or doors with wooden panels","They boarded up the windows before the hurricane hit.","bịt kín",0
"phrasal verbs","break down","to separate something into smaller components","Let me break the budget down into weekly expenses.","đập bé",0
"phrasal verbs","break up","to end an event or gathering","The party broke up around midnight.","kết thúc",0
"phrasal verbs","break up 2","to end a romantic relationship","They broke up after five years together.","chia tay",0
"phrasal verbs","brighten up","to become sunnier or more pleasant in weather","It was raining in the morning but it brightened up in the afternoon.","trở nên tốt hơn",0
"phrasal verbs","brighten up 2","to start feeling or looking more cheerful","Her mood brightened up after hearing the good news.","trở nên rạng rõ hơn",0
"phrasal verbs","brighten up 3","to add color or light to something","The new curtains really brighten up the room.","trở nên đẹp/hấp dẫn hơn",0
"phrasal verbs","bump into 2","to meet someone unexpectedly","I bumped into my old teacher at the supermarket.","tình cờ gặp",0
"phrasal verbs","buy off","to give someone money to avoid their opposition","They tried to buy off the inspector to ignore the violations.","đút lót",0
"phrasal verbs","buy out","to purchase someone's share in a business","He bought out his partner to become the sole owner.","mua lại",0
"phrasal verbs","buy up","to purchase all available items of something","Investors bought up the land before prices soared.","mua hết, mua sạch",0
"phrasal verbs","cancel out","to neutralize the effect of something","The benefits were cancelled out by the high costs.","triệt tiêu",0
"phrasal verbs","carry over","to transfer into a later time period","Unused vacation days can carry over to the next year.","kéo dài, chuyển sang",0
"phrasal verbs","catch on","to become trendy or popular","That fashion trend caught on quickly among teenagers.","trở thành mốt",0
"phrasal verbs","catch on 2","to begin to understand something","It took me a while to catch on to the new software.","hiểu",0
"phrasal verbs","centre around","to focus or revolve around someone or something","The discussion centered around budget cuts.","xoay quanh",0
"phrasal verbs","chance upon","to discover or encounter something unexpectedly.","We stumbled upon a delightful little restaurant during our walk.","tình cờ tìm thấy",0
"phrasal verbs","change into (1)","to rearrange objects so they are in new positions.","As a prank, my friends moved everything in my room to new places.","di chuyển đồ vật",0
"phrasal verbs","change into (2)","to transform from one form, state, or condition into another.","The movie depicted a man turning into a werewolf during the full moon.","biến đổi thành",0
"phrasal verbs","change out of (1)","to remove your clothes and put on a different set.","He quickly changed out of his work uniform and slipped into something more comfortable.","thay (quần áo) ra",0
"phrasal verbs","change out of (2)","to take off the clothes you're wearing and change into others.","Come inside and get out of those wet clothes.","thay (quần áo) ra",0
"phrasal verbs","check out (1)","to inspect something to ensure it is accurate or acceptable.","I've been testing the camera by taking lots of pictures.","kiểm tra, rà soát",0
"phrasal verbs","check out (2)","to verify that something is true.","Their explanation didn’t seem to match up with the facts.","đúng sự thật",0
"phrasal verbs","clock up","to reach a particular amount or total.","He has served in the police force for 34 years.","đạt mức",0
"phrasal verbs","close up","to secure and shut a building or store.","The shopkeeper locked up for the night.","khóa lại, đóng lại",0
"phrasal verbs","club together","to pool money with others to buy something collectively.","We all chipped in to buy her a thoughtful gift.","góp tiền",0
"phrasal verbs","come across","to unexpectedly meet someone or find something.","I found a mention of my grandfather in an old novel.","tình cờ gặp",0
"phrasal verbs","come (a)round (to)","to change your mind due to someone's influence.","At first, I didn’t agree, but I’ve warmed up to the idea now.","thay đổi quan điểm",0
"phrasal verbs","come between","to cause conflict or separation between people.","I’d never let any issue interfere with our friendship.","gây mâu thuẫn",0
"phrasal verbs","come off","to be removed from a surface through cleaning or rubbing.","The stain eventually came out after several washes.","bị xóa, biến khỏi",0
"phrasal verbs","come out (1)","to be interpreted in a certain way.","That didn’t sound right—let me reword it.","được hiểu",0
"phrasal verbs","come out (2)","to be released for public access.","The new magazine hits the shelves every Thursday.","được phát hành",0
"phrasal verbs","come out (3)","to become visible or apparent.","The differences only become clear when both teams meet.","được lộ",0
"phrasal verbs","come out (4)","to become publicly known.","He mentioned the truth would come out in court.","được công khai",0
"phrasal verbs","come out (5)","to result in a particular outcome.","Everything turned out fine in the end.","kết quả",0
"phrasal verbs","come round","to regain consciousness after fainting or surgery.","I felt groggy when I woke up from the operation.","tỉnh lại",0
"phrasal verbs","come across /kʌm əˈkrɒs/","to find someone or something unexpectedly","While reading an old journal, I came across my grandmother’s photo.","tình cờ gặp",0
"phrasal verbs","come around (to) /kʌm əˈraʊnd/","to change your mind after being convinced","She wasn’t sure about the plan, but she eventually came around to it.","thay đổi quan điểm",0
"phrasal verbs","come between /kʌm bɪˈtwiːn/","to cause conflict or distance in a relationship","Nothing will ever come between us and our friendship.","gây mâu thuẫn",0
"phrasal verbs","come out (of) /kʌm aʊt/","to be removed from something by washing or rubbing","I spilled ink on my shirt, but it came out after a few washes.","bị xóa, biến khỏi",0
"phrasal verbs","come out (clear) /kʌm aʊt/","to be expressed or understood in a certain way","His comment didn’t come out the way he intended.","được hiểu",0
"phrasal verbs","come up (with) /kʌm ʌp/","to invent or suggest a solution or idea","She came up with a brilliant idea to solve the issue.","nghĩ ra",0
"phrasal verbs","cordon off /ˈkɔːdn ɒf/","to block access to an area using a barrier","They cordoned off the accident site for investigation.","chặn đường",0
"phrasal verbs","crack down (on) /kræk daʊn ɒn/","to enforce laws or rules more strictly","Authorities are cracking down on illegal parking in the city.","trừng trị",0
"phrasal verbs","creep up (on) /kriːp ʌp ɒn/","to approach quietly and slowly","He crept up on his friend and scared her as a prank.","lén tiếp cận",0
"phrasal verbs","cut back (on) /kʌt bæk ɒn/","to reduce the amount of something","They’ve decided to cut back on overtime to reduce expenses.","cắt giảm",0
"phrasal verbs","cut out /kʌt aʊt/","to stop doing or using something completely","I’ve cut out sugar to improve my diet.","cắt giảm",0
"phrasal verbs","die out /daɪ aʊt/","to gradually disappear or stop existing","Dial-up Internet has almost completely died out.","biến mất hoàn toàn",0
"phrasal verbs","dig up /dɪg ʌp/","to search for and find something","She dug up some old emails to prove her point.","tìm kiếm kỹ",0
"phrasal verbs","cool down /kuːl daʊn/","to become less hot or make something cooler","Let’s wait for the engine to cool down before touching it.","hạ nhiệt",0
"phrasal verbs","come round /kʌm raʊnd/","to visit someone at their home","He came round last night to discuss the project.","ghé thăm",0
"phrasal verbs","come round /kʌm raʊnd/ 2","to happen again, usually on a regular basis","My birthday always seems to come round so quickly.","tái diễn",0
"phrasal verbs","check out /tʃek aʊt/","to investigate or look over something carefully","You should check out the new café downtown.","kiểm tra, rà soát",0
"phrasal verbs","chase up /tʃeɪs ʌp/","to follow up or remind someone to complete a task","I’ll chase up the supplier to confirm the delivery date.","đuổi theo",0
"phrasal verbs","crowd around /kraʊd əˈraʊnd/","to gather closely around someone or something","People crowded around the performer in the street.","tụ tập quanh",0
"phrasal verbs","check in /tʃek ɪn/","to register at a hotel or airport upon arrival","We checked in at the airport three hours before departure.","đăng ký",0
"phrasal verbs","dig up /dɪg ʌp/ 2","to extract something from the ground by digging","They managed to dig up some ancient pottery during the excavation.","khai quật",0
"phrasal verbs","dive in /daɪv ɪn/","to start doing something eagerly and with enthusiasm","As soon as dinner was served, everyone dived in.","bắt đầu làm một cách say mê",0
